  0.1294, -0.5139,  1.1167,  0.1206, -0.4392,  0.9584,  0.1353, -0.5143,  1.1177,  0.1263, -0.4361,  0.9517
  0.1238, -0.5289,  1.1503,  0.1152, -0.4594,  1.0031,  0.1296, -0.5294,  1.1514,  0.1207, -0.4566,  0.9969
  0.1151, -0.5706,  1.2440,  0.1065, -0.5112,  1.1181,  0.1208, -0.5711,  1.2451,  0.1120, -0.5088,  1.1127
  0.1059, -0.6114,  1.3363,  0.0974, -0.5605,  1.2286,  0.1116, -0.6120,  1.3376,  0.1029, -0.5584,  1.2238
  0.0961, -0.6500,  1.4246,  0.0877, -0.6067,  1.3330,  0.1018, -0.6506,  1.4260,  0.0932, -0.6048,  1.3288
  0.0856, -0.6854,  1.5065,  0.0772, -0.6488,  1.4294,  0.0913, -0.6861,  1.5080,  0.0827, -0.6471,  1.4255
  0.0740, -0.7168,  1.5800,  0.0657, -0.6864,  1.5165,  0.0797, -0.7175,  1.5816,  0.0713, -0.6849,  1.5130
  0.0615, -0.7435,  1.6432,  0.0533, -0.7189,  1.5926,  0.0672, -0.7442,  1.6449,  0.0589, -0.7175,  1.5894
  0.0479, -0.7648,  1.6944,  0.0398, -0.7459,  1.6567,  0.0535, -0.7655,  1.6962,  0.0453, -0.7446,  1.6538
  0.0333, -0.7801,  1.7316,  0.0254, -0.7667,  1.7068,  0.0388, -0.7808,  1.7335,  0.0308, -0.7656,  1.7041
  0.0182, -0.7888,  1.7531,  0.0103, -0.7807,  1.7410,  0.0235, -0.7896,  1.7551,  0.0157, -0.7797,  1.7385
  0.0027, -0.7902,  1.7568, -0.0050, -0.7873,  1.7572,  0.0078, -0.7909,  1.7587,  0.0001, -0.7864,  1.7550
 -0.0125, -0.7837,  1.7411, -0.0203, -0.7860,  1.7540, -0.0075, -0.7845,  1.7432, -0.0153, -0.7851,  1.7520
 -0.0270, -0.7698,  1.7077, -0.0350, -0.7773,  1.7329, -0.0223, -0.7706,  1.7098, -0.0302, -0.7765,  1.7311
 -0.0407, -0.7492,  1.6586, -0.0488, -0.7620,  1.6959, -0.0363, -0.7501,  1.6608, -0.0442, -0.7613,  1.6943
 -0.0532, -0.7226,  1.5958, -0.0614, -0.7408,  1.6451, -0.0491, -0.7235,  1.5980, -0.0571, -0.7402,  1.6436
 -0.0646, -0.6905,  1.5210, -0.0728, -0.7143,  1.5822, -0.0607, -0.6915,  1.5232, -0.0688, -0.7137,  1.5809
 -0.0748, -0.6535,  1.4357, -0.0831, -0.6831,  1.5092, -0.0713, -0.6545,  1.4379, -0.0794, -0.6826,  1.5080
 -0.0842, -0.6122,  1.3414, -0.0925, -0.6479,  1.4279, -0.0809, -0.6132,  1.3437, -0.0890, -0.6475,  1.4269
 -0.0927, -0.5671,  1.2396, -0.1010, -0.6097,  1.3404, -0.0897, -0.5681,  1.2420, -0.0978, -0.6092,  1.3394
 -0.1007, -0.5189,  1.1319, -0.1090, -0.5693,  1.2489, -0.0979, -0.5201,  1.1344, -0.1060, -0.5689,  1.2481
 -0.1083, -0.4688,  1.0206, -0.1167, -0.5281,  1.1564, -0.1057, -0.4700,  1.0233, -0.1138, -0.5277,  1.1557
